计数            温度            样品电压          样品电流          霍尔电势          磁场强度          励磁电流
166           297.7         0.0238        0.0518        0.0075        66.8          1.4150
167           297.7         0.0272        0.0518        0.0080        53.3          1.4150
168           297.7         0.0254        0.0526        0.0066        23.0          0.0440
169           297.7         0.0220        0.0607        0.0013        -4.0          0.0440
170           297.7         0.0231        0.0609        -0.0060       -29.0         0.4710
171           297.7         0.0292        0.0681        -0.0091       -60.3         1.0050
172           297.6         0.0358        0.0690        -0.0111       -60.3         1.4150
173           297.6         0.0363        0.0771        -0.0115       -65.6         1.4150
174           297.6         0.0408        0.0771        -0.0126       -67.5         1.4150
175           297.7         0.0409        0.0771        -0.0126       -69.0         1.4150
176           297.6         0.0452        0.0851        -0.0140       -69.8         1.4040
177           297.6         0.0448        0.0851        -0.0131       -70.6         1.3920
178           297.6         0.0450        0.0933        -0.0120       -71.4         1.3920
179           297.6         0.0391        0.0934        -0.0053       -3.7          1.3810
180           297.6         0.0344        0.1014        0.0071        29.6          0.3310
181           297.6         0.0469        0.1015        0.0146        29.6          1.0550
182           297.6         0.0522        0.1097        0.0173        56.2          1.4150
183           297.7         0.0575        0.1097        0.0177        62.2          1.4150
184           297.6         0.0579        0.1097        0.0184        64.7          1.4150
185           297.7         0.0624        0.1180        0.0193        66.0          1.4150
186           297.6         0.0625        0.1179        0.0193        67.0          1.4150
187           297.7         0.0669        0.1261        0.0198        52.2          1.4150
188           297.7         0.0623        0.1260        0.0172        30.1          1.4150
189           297.7         0.0592        0.1341        0.0120        30.1          0.2460
190           297.7         0.0474        0.1341        -0.0071       0.0           0.6220
191           297.7         0.0625        0.1382        -0.0190       -36.1         1.1560
192           297.7         0.0718        0.1422        -0.0221       -62.5         1.1560
193           297.6         0.0742        0.1495        -0.0226       -66.9         1.4150
194           297.7         0.0791        0.1504        -0.0242       -66.9         1.4150
195           297.7         0.0794        0.1584        -0.0246       -68.5         1.4150
196           297.7         0.0838        0.1584        -0.0256       -69.1         1.4150
197           297.6         0.0839        0.1584        -0.0251       -68.0         1.4150
198           297.6         0.0833        0.1663        -0.0233       -43.8         1.4150
199           297.6         0.0756        0.1662        -0.0169       -16.6         1.4150
200           297.6         0.0624        0.1744        0.0048        -16.6         0.0910
201           297.6         0.0746        0.1744        0.0222        20.7          0.8650
202           297.6         0.0883        0.1827        0.0281        45.4          1.4150
203           297.6         0.0951        0.1827        0.0292        61.8          1.4150
204           297.7         0.0960        0.1827        0.0307        64.4          1.4150
205           297.7         0.1007        0.1908        0.0309        66.0          1.4150
206           297.6         0.1010        0.1914        0.0317        66.7          1.4150
207           297.7         0.1055        0.1989        0.0323        61.8          1.4150
208           297.7         0.1018        0.2044        0.0291        32.2          1.4150
209           297.7         0.0971        0.2068        0.0229        32.2          1.4150
210           297.7         0.0765        0.2081        0.0006        8.6           0.1970
211           297.7         0.0850        0.2147        -0.0238       -16.4         0.9230
212           297.7         0.1042        0.2147        -0.0322       -50.3         1.4150
213           297.7         0.1151        0.2215        -0.0351       -64.0         1.4150
214           297.7         0.1168        0.2227        -0.0355       -67.4         1.4150
215           297.7         0.1174        0.2261        -0.0369       -68.8         1.4150
216           297.7         0.1221        0.2310        -0.0372       -69.5         1.4150
217           297.6         0.1223        0.2383        -0.0373       -69.5         1.4150
218           297.6         0.1240        0.2392        -0.0357       -62.7         1.4150
219           297.6         0.1143        0.2392        -0.0287       -31.6         1.4150
220           297.6         0.0980        0.2473        -0.0072       -6.7          0.2620
221           297.6         0.0925        0.2473        0.0228        26.5          0.2620
222           297.6         0.0870        0.2555        0.0374        26.5          0.9920
223           297.7         0.1320        0.2593        0.0404        58.1          1.4150
224           297.6         0.1359        0.2593        0.0423        63.6          1.4150
225           297.7         0.1390        0.2637        0.0426        65.5          1.4150
226           297.7         0.1398        0.2717        0.0440        66.5          1.4150
227           297.7         0.1438        0.2717        0.0441        66.5          1.4150
228           297.7         0.1426        0.2717        0.0415        63.5          1.4150
229           297.7         0.1356        0.2797        0.0366        26.5          1.4150
230           297.7         0.1193        0.2797        0.0167        2.7           1.4150
231           297.7         0.1031        0.2879        -0.0218       2.7           0.3240
232           297.7         0.1344        0.2898        -0.0398       -33.2         1.0930
233           297.7         0.1513        0.2898        -0.0460       -57.7         1.4150
234           297.7         0.1545        0.2959        -0.0469       -66.7         1.4150
235           297.7         0.1593        0.3040        -0.0485       -68.2         1.4150
236           297.7         0.1603        0.3040        -0.0487       -69.5         1.4150
237           297.7         0.1608        0.3121        -0.0502       -69.5         1.4150
238           297.6         0.1644        0.3120        -0.0486       -68.5         1.4150
239           297.6         0.1542        0.3120        -0.0422       -67.5         1.4150
240           297.6         0.1413        0.3200        -0.0261       -66.6         1.4150
241           297.6         0.1129        0.3273        0.0143        -66.6         0.2370
242           297.6         0.1460        0.3282        0.0437        24.4          1.1490
243           297.7         0.1650        0.3282        0.0510        56.7          1.4150
244           297.7         0.1754        0.3363        0.0536        63.6          1.4150
245           297.7         0.1768        0.3363        0.0541        65.2          1.4150
246           297.6         0.1811        0.3446        0.0557        66.5          1.4150
247           297.7         0.1822        0.3446        0.0559        66.5          1.4150
248           297.7         0.1843        0.3527        0.0564        67.0          1.4150
249           297.7         0.1776        0.3526        0.0499        50.6          1.4150
250           297.7         0.1613        0.3526        0.0352        22.3          0.0080
251           297.7         0.1285        0.3608        -0.0079       -5.0          0.4880
252           297.7         0.1522        0.3608        -0.0447       -38.8         1.2160
253           297.7         0.1823        0.3689        -0.0563       -61.7         1.2160
254           297.7         0.1919        0.3689        -0.0580       -65.7         1.4150
255           297.7         0.1976        0.3769        -0.0599       -65.7         1.4150
256           297.7         0.1985        0.3769        -0.0602       -68.2         1.4150
257           297.7         0.2033        0.3849        -0.0618       -69.6         1.4150
258           297.6         0.2037        0.3852        -0.0617       -64.8         1.4150
259           297.6         0.1980        0.3933        -0.0563       -64.8         1.4150
260           297.6         0.1826        0.3932        -0.0444       -32.5         1.4150
261           297.6         0.1479        0.4014        -0.0025       -12.2         0.3610
262           297.6         0.1580        0.4014        0.0474        22.3          0.9700
263           297.6         0.1961        0.4015        0.0602        50.1          1.4140
264           297.7         0.2121        0.4094        0.0647        62.5          1.4150
265           297.7         0.2145        0.4094        0.0656        64.7          1.4150
266           297.7         0.2199        0.4176        0.0673        65.9          1.4150
267           297.7         0.2205        0.4176        0.0675        65.9          1.4150
268           297.7         0.2250        0.4259        0.0690        66.8          1.4150
269           297.7         0.2210        0.4259        0.0632        53.3          1.4150
270           297.7         0.2037        0.4293        0.0534        28.3          0.2010
271           297.7         0.1762        0.4338        0.0143        -2.1          0.4270
272           297.7         0.1609        0.4371        -0.0435       -30.3         0.4270
273           297.7         0.1457        0.4419        -0.0633       -55.3         1.0350
274           297.7         0.2276        0.4490        -0.0688       -65.4         1.4150
275           297.7         0.2351        0.4499        -0.0712       -65.4         1.4150
276           297.7         0.2365        0.4555        -0.0717       -67.7         1.4150
277           297.7         0.2414        0.4579        -0.0733       -68.8         1.4150
278           297.7         0.2419        0.4579        -0.0735       -69.8         1.4150
279           297.6         0.2424        0.4662        -0.0708       -58.3         1.4150
280           297.6         0.2261        0.4663        -0.0604       -28.0         0.1480
281           297.6         0.1994        0.4741        -0.0232       -2.4          0.1480
282           297.6         0.1713        0.4741        0.0339        22.0          0.3570
283           297.6         0.2199        0.4813        0.0658        54.9          0.8920
284           297.7         0.2461        0.4821        0.0755        54.9          1.4150
285           297.7         0.2518        0.4904        0.0774        62.3          1.4150
286           297.7         0.2576        0.4904        0.0788        64.4          1.4150
287           297.7         0.2585        0.4904        0.0791        65.9          1.4150
288           297.7         0.2636        0.4987        0.0806        66.7          1.4150
289           297.7         0.2633        0.4987        0.0784        53.9          1.4150
290           297.7         0.2630        0.5068        0.0680        29.0          1.4150
291           297.7         0.2627        0.5068        0.0443        7.8           1.4150
292           297.7         0.1802        0.5149        -0.0224       -26.1         0.2150
293           297.7         0.2283        0.5149        -0.0679       -26.1         0.9430
294           297.7         0.2590        0.5149        -0.0792       -52.8         1.4150
295           297.7         0.2723        0.5230        -0.0824       -65.4         1.4150
296           297.7         0.2742        0.5230        -0.0831       -68.0         1.4150
297           297.7         0.2796        0.5312        -0.0848       -68.0         1.4150
298           297.7         0.2804        0.5375        -0.0851       -69.5         1.4150
299           297.6         0.2851        0.5393        -0.0854       -69.9         1.4150
300           297.6         0.2714        0.5393        -0.0745       -70.4         1.4150
301           297.6         0.2467        0.5474        -0.0547       -70.9         0.0120
302           297.6         0.1958        0.5475        0.0104        11.1          0.6510
303           297.6         0.2311        0.5557        0.0713        38.9          0.6510
304           297.7         0.2762        0.5557        0.0849        58.6          1.2590
305           297.7         0.2887        0.5630        0.0880        63.8          1.4150
306           297.7         0.2954        0.5638        0.0903        63.8          1.4150
307           297.7         0.2969        0.5718        0.0913        65.4          1.4150
308           297.7         0.3018        0.5718        0.0924        66.2          1.4150
309           297.7         0.3023        0.5718        0.0921        67.0          1.4150
310           297.7         0.2948        0.5799        0.0841        46.5          1.4150
311           297.7         0.2705        0.5798        0.0664        19.8          1.4150
312           297.7         0.2231        0.5880        -0.0005       19.8          0.0150
313           297.7         0.2351        0.5918        -0.0646       -17.2         0.9230
314           297.7         0.2865        0.5918        -0.0877       -50.3         1.4140
315           297.7         0.3083        0.5963        -0.0933       -65.3         1.4140
316           297.7         0.3123        0.6046        -0.0956       -67.8         1.4150
317           297.7         0.3176        0.6046        -0.0963       -67.8         1.4150
318           297.7         0.3185        0.6126        -0.0966       -69.0         1.4150
319           297.6         0.3234        0.6126        -0.0982       -69.8         1.4150
320           297.6         0.3154        0.6126        -0.0906       -53.8         1.4150
321           297.6         0.2953        0.6207        -0.0761       -24.6         0.0440
322           297.6         0.2530        0.6208        -0.0140       2.8           0.0440
323           297.6         0.2383        0.6289        0.0592        27.2          0.4700
324           297.6         0.2236        0.6289        0.0903        57.6          1.0050
325           297.7         0.3260        0.6368        0.1002        57.6          1.4150
326           297.7         0.3328        0.6368        0.1015        63.0          1.4150
327           297.7         0.3349        0.6450        0.1035        64.7          1.4150
328           297.7         0.3398        0.6450        0.1040        66.2          1.4150
329           297.7         0.3406        0.6449        0.1052        67.0          1.4040
330           297.7         0.3417        0.6531        0.1003        67.8          1.3930
331           297.7         0.3178        0.6531        0.0837        68.6          1.3930
332           297.7         0.2775        0.6612        0.0386        2.4           1.3820
333           297.7         0.2366        0.6636        -0.0445       -31.4         0.3290
334           297.7         0.3086        0.6694        -0.0931       -31.4         1.0550
335           297.7         0.3425        0.6694        -0.1035       -58.7         1.4150
336           297.7         0.3524        0.6694        -0.1067       -64.9         1.4150
337           297.7         0.3553        0.6774        -0.1076       -68.2         1.4150
338           297.7         0.3581        0.6854        -0.1093       -69.3         1.4150
339           297.7         0.3615        0.6855        -0.1097       -69.5         1.4150
340           297.6         0.3614        0.6936        -0.1068       -69.5         1.4150
341           297.6         0.3613        0.6936        -0.0930       -69.6         1.4150
342           297.6         0.3612        0.7016        -0.0614       -69.8         0.0330
343           297.6         0.2471        0.7016        0.0321        6.7           0.5920
344           297.6         0.3122        0.7017        0.0944        43.6          0.5920
345           297.7         0.3582        0.7098        0.1097        61.4          1.3630
346           297.7         0.3692        0.7098        0.1126        61.4          1.4150
347           297.7         0.3759        0.7098        0.1149        64.1          1.4150
348           297.7         0.3778        0.7178        0.1155        65.9          1.4150
349           297.7         0.3799        0.7199        0.1171        66.8          1.4150
350           297.7         0.3834        0.7257        0.1151        56.5          1.4150
351           297.7         0.3627        0.7322        0.1027        34.1          1.4150
352           297.7         0.3334        0.7339        0.0753        5.3           1.4150
353           297.7         0.2639        0.7420        -0.0207       5.3           0.2650
354           297.7         0.3173        0.7420        -0.0922       -22.9         0.8730
355           297.7         0.3665        0.7500        -0.1118       -47.8         1.4150
356           297.7         0.3886        0.7500        -0.1175       -64.6         1.4150
357           297.7         0.3924        0.7500        -0.1187       -81.4         1.4150
358           297.7         0.3981        0.7577        -0.1206       -69.0         1.4150
359           297.7         0.3992        0.7580        -0.1211       -69.8         1.4150
360           297.7         0.4018        0.7661        -0.1223       -64.5         1.4150
361           297.6         0.3898        0.7661        -0.1103       -34.1         1.4150
362           297.6         0.3574        0.7742        -0.0840       -34.1         1.4150
363           297.6         0.2848        0.7742        -0.0026       -10.1         0.1980
364           297.6         0.3068        0.7825        0.0862        14.6          0.9250
365           297.7         0.3785        0.7825        0.1172        48.0          1.4150
366           297.7         0.4048        0.7825        0.1233        61.4          1.4150
367           297.7         0.4132        0.7906        0.1261        64.4          1.4150
368           297.7         0.4151        0.7906        0.1269        65.9          1.4150
369           297.7         0.4203        0.7986        0.1287        65.9          1.4160
